dataset,backend,vector,index,serial,parallel,absDiff,relDiff
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",71,-2.5499196504704562,-3.1373587270071503,0.58743907653669414,0.23037552435360562
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",72,-1.3593715504615353,-1.879870243885718,0.52049869342418265,0.38289656219998303
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",73,-0.72504287684915314,-1.1270609727709227,0.40201809592176951,0.55447492659859665
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",74,-0.34679199660006216,-0.58203591156645762,0.23524391496639546,0.67834297582619962
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",75,-1.1662403374348977,-1.6699027196120493,0.50366238217715154,0.43186842883940907
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",76,-1.8925826129709387,-2.4507083315200657,0.55812571854912707,0.2949016411352276
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",77,-1.778784449422586,-2.330527721430673,0.55174327200808704,0.31017995023915873
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",78,-2.7777147571171481,-3.3530422604984214,0.57532750338127325,0.20712260029837515
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",79,-2.7533268545577383,-3.3358267491146938,0.5824998945569555,0.21156220286476715
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",80,-2.8390842818441815,-3.4173175923078434,0.57823331046366189,0.20366894852732564
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",81,-1.9032020802942513,-2.4628742557603216,0.55967217546607029,0.29406870729120904
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",82,-2.5439118813678334,-3.1256587515232082,0.58174687015537474,0.22868200522833199
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",83,-2.4953857395473893,-3.0577700597960882,0.56238432024869889,0.22536969388576519
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",84,-2.6693347327612393,-3.2566091529874086,0.58727442022616927,0.22000778434358254
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",85,-1.4094138504885252,-1.9439567009991248,0.53454285051059958,0.37926606888765746
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",86,-0.85960769466558939,-1.3020754926696634,0.44246779800407399,0.51473224442948462
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",87,-0.3473392837930801,-0.58146773497868631,0.23412845118560621,0.67406268772375078
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",88,-0.34636797720048895,-0.58218208337625788,0.23581410617576892,0.68081959562697136
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",89,-0.7078768999609476,-1.1027474544179443,0.3948705544569967,0.55782376071147544
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",90,-1.4244625717223476,-1.9558079267513673,0.53134535502901969,0.37301461307372846
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",91,-2.6769284420185793,-3.2492099290968417,0.57228148707826243,0.21378288567427103
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",92,-2.766745737179499,-3.3218920024829131,0.55514626530341404,0.20064954211128425
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",93,-5.0761940528896599,-5.5809400458488918,0.50474599295923195,0.099433943560904986
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",94,-4.9759518835335177,-5.4475897186654949,0.47163783513197721,0.09478343966563002
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",95,-5.1788599119656338,-5.7027130586823089,0.52385314671667516,0.10115221412078068
